Year,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2-WACCM,CESM2,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3-Veg,EC-Earth3,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-H,HadGEM3-GC31-LL,IPSL-CM6A-LR,MCM-UA-1-0,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MRI-ESM2-0,NESM3,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL,Mean
125,1.112,1.836,1.666,2.165,2.385,2.319,1.996,2.548,.9636,.5554,1.616,1.757,1.675,1.847,1.416,2.067,1.691,1.606,2.551,2.258,1.561,2.642,1.974,2.173,2.399,2.056,1.878
126,.9142,1.396,.8719,1.939,2.449,2.247,2.456,2.097,1.105,.8573,1.128,1.951,1.539,2.453,2.003,1.913,1.556,2.559,2.203,1.501,1.281,1.548,2.339,1.261,1.991,2.450,1.769
127,1.462,1.601,.5134,2.351,2.132,2.011,1.719,2.506,1.826,1.047,.9235,1.884,1.700,1.491,1.757,1.997,1.754,2.302,1.274,1.830,1.294,1.782,1.827,.9394,2.101,2.155,1.699
128,1.589,1.311,.5798,2.355,2.203,2.603,2.018,1.923,2.093,1.234,1.428,2.005,1.241,1.722,.9709,2.351,1.246,1.921,2.056,1.213,1.474,1.801,2.043,2.688,2.182,2.355,1.792
129,1.823,1.437,1.423,1.977,2.207,2.785,2.493,2.043,1.041,1.290,1.442,1.210,2.033,2.103,1.638,2.240,1.230,2.314,2.572,1.854,1.160,1.968,2.512,1.866,2.614,1.944,1.893
130,1.662,1.474,.7627,2.113,2.211,1.958,2.114,2.568,1.754,.7871,.6540,2.508,1.952,2.485,1.713,2.134,1.826,2.163,1.771,2.006,1.795,2.412,2.034,.7008,1.562,1.879,1.808
131,1.078,1.746,.3642,1.945,1.770,2.340,2.008,2.250,1.966,.4737,.6203,1.819,1.938,1.987,1.254,2.223,.9695,1.944,1.602,2.134,1.578,1.693,1.799,1.737,2.416,2.059,1.681
132,1.237,1.668,1.538,2.256,2.246,2.461,1.900,1.943,1.642,1.578,1.546,2.109,.5363,1.777,1.758,2.313,1.971,2.611,2.350,1.160,1.490,1.481,2.416,2.716,1.876,1.859,1.863
133,1.135,1.421,.5321,2.109,2.124,1.851,2.266,2.100,1.538,1.657,1.299,.3620,2.063,1.641,1.756,1.557,1.808,1.975,2.391,1.980,1.655,2.008,1.777,.8311,1.932,2.194,1.691
134,1.400,1.315,1.188,2.108,2.385,2.284,1.891,2.037,.9372,.7460,.6610,1.967,1.841,1.464,1.260,2.364,1.404,2.137,1.212,1.999,1.630,1.718,2.218,1.278,1.792,2.468,1.681
135,1.495,1.581,.3920,2.450,1.742,2.425,2.128,2.282,1.564,.6775,.8925,2.187,.7165,1.714,1.778,2.097,1.306,1.952,1.845,2.069,1.262,2.217,2.134,2.785,2.719,1.959,1.783
136,1.162,1.139,1.446,2.008,1.790,1.965,1.993,2.287,1.464,1.145,1.142,2.423,2.073,1.892,1.478,2.185,1.836,2.108,2.262,1.847,1.028,1.618,2.050,1.679,2.447,2.029,1.788
137,1.209,1.641,.8799,2.104,1.914,2.287,2.450,2.081,1.746,1.224,1.156,1.633,1.161,1.873,1.166,2.409,1.431,2.439,2.285,1.209,1.374,2.565,1.550,.8286,1.555,2.070,1.701
138,1.277,1.650,1.088,2.281,2.359,1.823,2.285,2.551,1.457,.3676,.8986,.9291,1.604,2.073,1.841,2.106,1.310,2.035,1.265,2.016,1.700,.7728,1.796,2.224,2.252,1.845,1.685
139,1.564,1.476,-.2199E-02,2.168,1.825,2.582,1.519,2.340,.9750,1.176,.9796,2.322,1.839,1.444,1.933,2.405,1.367,1.627,1.550,2.095,1.553,1.567,1.946,.4613,1.590,2.321,1.639
140,1.376,1.290,1.130,1.698,2.145,2.053,2.473,2.118,1.147,1.446,1.422,2.233,1.601,1.874,.8525,1.987,1.240,1.727,2.248,1.925,1.375,1.714,1.705,2.739,2.405,2.048,1.768
141,1.113,1.349,1.307,2.036,1.469,2.052,1.657,2.009,1.322,1.073,1.097,1.212,1.679,2.132,1.699,1.854,1.533,1.685,2.071,1.139,1.341,2.013,2.072,2.150,1.923,1.892,1.649
142,1.196,1.432,.4041,1.959,2.041,2.189,1.818,2.114,1.404,.4052,1.079,2.022,1.664,1.628,1.762,2.143,1.720,1.997,1.050,1.966,1.712,1.632,1.642,.6266,2.591,2.006,1.623
143,.9751,1.836,1.518,1.883,2.349,1.862,2.175,2.414,1.636,1.661,.9345,2.201,1.026,1.727,.8369,1.998,1.093,1.885,1.847,2.445,1.455,1.475,2.119,1.993,2.274,1.919,1.751
144,1.289,1.507,.7451,2.346,1.995,2.522,1.568,1.966,1.539,1.288,.9884,1.801,1.526,1.996,1.763,2.079,1.996,2.197,2.497,2.192,.6778,1.319,1.984,1.800,2.499,2.045,1.774
145,1.640,1.420,.4975,1.684,1.445,2.539,1.394,1.935,1.177,1.282,.2486,2.172,1.522,2.073,1.601,2.345,1.027,1.562,2.332,1.008,1.449,1.975,2.175,.3906,1.311,2.043,1.548
146,1.449,1.933,.1110,2.079,2.372,2.081,2.121,2.559,1.558,1.108,1.354,.9961,1.372,1.734,1.024,2.134,1.610,1.850,1.054,2.003,1.802,1.773,1.715,1.621,1.590,1.849,1.648
147,.9884,1.610,1.891,2.301,2.058,2.326,1.943,2.166,1.328,.7795,1.354,2.138,1.747,1.638,1.513,2.131,1.218,2.228,1.971,2.069,1.647,1.534,2.111,2.711,2.574,1.869,1.840
148,1.210,1.441,.6009,2.421,2.078,2.086,1.666,2.025,1.674,1.317,.8252,1.855,1.547,1.883,1.225,1.833,1.610,1.988,2.308,1.691,1.049,1.889,1.794,.8336,2.225,1.903,1.653
149,.7600,1.433,1.160,2.443,1.928,2.261,1.952,2.295,.8194,.3784,.7147,1.827,1.932,1.852,1.045,1.843,1.597,1.807,1.866,1.009,1.449,1.506,1.676,1.623,2.058,2.077,1.589
150,1.417,1.581,.3518,1.893,2.269,2.217,1.717,2.048,1.872,1.316,1.645,1.261,1.105,1.441,1.480,1.808,1.626,2.125,1.131,2.207,1.333,1.196,2.137,2.104,1.622,1.957,1.649
